Date,Open,High,Low,Close,Change,y,Change%,Volume('000 shares),RSV,%K,%D,DI,EMA12,EMA26,DIF,MACD
2020/9/7,428,432.5,425,426,-3,5,-0.7,39854.584,0,0.28825159,0.475564609,427.375,433.2604167,430.2740385,2.986378205,2.647792023
2020/9/4,427,432.5,427,429,-7,-3,-1.61,51349.911,0.142857143,0.432377384,0.569221119,429.375,432.1979167,430.2644231,1.93349359,3.058760684
2020/9/3,439.5,439.5,433.5,436,3,-7,0.69,40683.617,0.542857143,0.577137505,0.637642987,436.25,432.2291667,430.4567308,1.772435897,3.858885328
2020/9/2,441,441,430.5,433,-2,3,-0.46,42013.407,0.435897436,0.594277686,0.667895728,434.375,432.09375,429.9759615,2.117788462,5.001068376
2020/9/1,430,435,428,435,8.5,-2,1.99,50129.577,0.689655172,0.673467811,0.704704749,433.25,431.9479167,430.2403846,1.707532051,6.439369658
2020/8/31,437,439.5,426.5,426.5,-8.5,8.5,-1.95,88569.538,0.396551724,0.665374131,0.720323218,429.75,431.3645833,429.8269231,1.537660256,8.223023504
2020/8/28,440,440.5,431,435,-9,-8.5,-2.03,57039.21,0.689655172,0.799785334,0.747797762,435.375,431.2083333,428.1923077,3.016025641,10.20664174
2020/8/27,448,453.5,444,444,2,-9,0.45,57206.712,1,0.854850415,0.721803975,446.375,429.9375,426.1105769,3.826923077,12.30324074
2020/8/26,435.5,442,435,442,7.5,2,1.73,41406.34,1,0.782275622,0.655280756,440.25,428.6145833,423.6826923,4.931891026,14.68384972
2020/8/25,433.5,436,430.5,434.5,6.5,7.5,1.52,37024.899,0.975,0.673413433,0.591783323,433.875,428.09375,421.4086538,6.685096154,17.26575855
2020/8/24,427.5,434.5,425,428,3.5,6.5,0.82,49199.406,0.65,0.522620149,0.550968268,428.875,427.9375,418.8028846,9.134615385,20.15010684
2020/8/21,421.5,427,420,424.5,9.5,3.5,2.29,41956.467,0.475,0.458930224,0.565142327,424,428.4270833,416.375,12.05208333,23.12562322
2020/8/20,427,427.5,401,415,-12.5,9.5,-2.92,75155.235,0,0.450895336,0.618248378,414.625,428.875,413.8125,15.0625,25.77822293
2020/8/19,436,436.5,427.5,427.5,-5.5,-12.5,-1.27,31486.8,0.515151515,0.676343004,0.701924899,429.75,429.6354167,411.875,17.76041667,28.05662393
2020/8/18,440,440.5,432,433,-2,-5.5,-0.46,45504.16,0.848484848,0.756938749,0.714715847,434.625,428.6354167,409.2451923,19.39022436,30.0582265
2020/8/17,427,435,425.5,435,8,-2,1.87,34607.731,0.96969697,0.711165699,0.693604396,432.625,428.0104167,406.125,21.88541667,31.88648504
2020/8/14,424,428,423,427,-2,8,-0.47,24259.947,0.484848485,0.581900064,0.684823745,426.25,428.15625,402.9038462,25.25240385,33.35024929
2020/8/13,428,429,424.5,429,10,-2,2.39,45669.335,0.666666667,0.630425853,0.736285585,427.875,427.9479167,399.7788462,28.16907051,34.37936254
2020/8/12,422,423.5,419,419,-10,10,-2.33,53980.474,0.153846154,0.612305447,0.789215451,420.125,429.0625,396.4182692,32.64423077,34.95272436
2020/8/11,432,435,429,429,-6.5,-10,-1.49,34545.313,0.666666667,0.841535093,0.877670452,430.5,429.2604167,393.3461538,35.91426282,34.92690527
2020/8/10,427.5,437.5,427.5,435.5,2.5,-6.5,0.58,36067.5,1,0.928969307,0.895738132,434,425.65625,389.7307692,35.92548077,34.37998575
2020/8/7,433.5,434,428,433,-2,2.5,-0.46,37611.388,0.894736842,0.89345396,0.879122545,432,421.2604167,385.6923077,35.56810897,33.65090812
2020/8/6,437.5,438,431,435,6,-2,1.4,43443.627,1,0.892812519,0.871956837,434.75,417.1979167,381.4230769,35.77483974,32.64894943
2020/8/5,430.5,433.5,426,429,3.5,6,0.82,47460.834,0.87755102,0.839218778,0.861528996,429.375,412.7291667,376.8846154,35.84455128,31.36529558
2020/8/4,421.5,425.5,418.5,425.5,9.5,3.5,2.28,41697.445,0.822429907,0.820052657,0.872684105,423.75,407.4583333,372.3990385,35.05929487,29.94871795
2020/8/3,420.5,424,415,416,-9.5,9.5,-2.23,77288.571,0.644859813,0.818864032,0.898999829,417.75,402.625,368.1105769,34.51442308,28.5389067
2020/7/31,426,432,425.5,425.5,-8.5,-9.5,-1.96,50484.674,0.822429907,0.905866142,0.939067727,427.125,397.59375,364.2644231,33.32932692,27.0462963
2020/7/30,436.5,441,428.5,434,12,-8.5,2.84,69936.949,0.985507246,0.947584259,0.95566852,434.375,392.3541667,359.9423077,32.41185897,25.45699786
2020/7/29,428,431.5,419.5,422,-13,12,-2.99,88641.166,0.811594203,0.928622766,0.959710651,423.75,386.2708333,355.2788462,30.99198718,23.74145299
2020/7/28,464,466.5,428.5,435,10.5,-13,2.47,172157.746,1,0.987137047,0.975254594,441.25,380.4166667,351.0528846,29.36378205,21.93509615
2020/7/27,420.5,424.5,416.5,424.5,38.5,10.5,9.97,103315.64,1,0.980705571,0.969313367,422.5,372.71875,346.1682692,26.55048077,20.06686254
2020/7/24,390,395,382,386,4.5,38.5,1.18,90988.734,1,0.971058356,0.963617265,387.25,366.2604167,342.0384615,24.22195513,18.25836895
2020/7/23,382,383,379,381.5,-2.5,4.5,-0.65,45397.282,0.915254237,0.956587534,0.959896719,381.25,362.3645833,339.2692308,23.09535256,16.54344729
2020/7/22,381,386,379,384,1,-2.5,0.26,43959.67,1,0.977254182,0.961551312,383.25,358.9479167,336.5769231,22.37099359,14.82247151
2020/7/21,372.5,387,371.5,383,17,1,4.64,64440.128,1,0.965881273,0.953699877,381.125,355.0520833,333.9711538,21.08092949,13.07425214
2020/7/20,370,370,362.5,366,-1,17,-0.27,44940.238,0.961538462,0.94882191,0.947609179,366.125,350.7083333,331.6826923,19.02564103,11.39378561
2020/7/17,361,369,360,367,9.5,-1,2.66,66403.485,1,0.942463634,0.947002814,365.75,346.9479167,329.9759615,16.97195513,9.907496439
2020/7/16,359,361,353.5,357.5,-5.5,9.5,-1.52,68582.512,0.764705882,0.913695451,0.949272404,357.375,342.8645833,328.1298077,14.73477564,8.610665954
2020/7/15,366,370,361,363,-0.5,-5.5,-0.14,75105.362,0.985294118,0.988190235,0.967060881,364.25,339.1458333,326.5961538,12.54967949,7.536057692
2020/7/14,355,364,354.5,363.5,9,-0.5,2.54,63030.15,1,0.989638293,0.956496204,361.375,334.8125,324.5384615,10.27403846,6.683048433
2020/7/13,351,354.5,350.5,354.5,6,9,1.72,49459.523,1,0.98445744,0.939925159,353.5,331.1770833,322.3894231,8.787660256,6.158564815
2020/7/10,352.5,353,345.5,348.5,3.5,6,1.01,60902.108,1,0.97668616,0.917659019,348.875,327.9479167,320.3413462,7.606570513,5.948005698
2020/7/9,346,347,343,345,4,3.5,1.17,37410.376,1,0.96502924,0.888145449,345,324.96875,318.3317308,6.637019231,6.019319801
2020/7/8,337.5,342.5,337.5,341,2.5,4,0.74,33813.218,1,0.94754386,0.849703553,340.5,322.375,316.4182692,5.956730769,6.33048433
2020/7/7,343.5,346,338,338.5,0.5,2.5,0.15,59046.323,1,0.92131579,0.8007834,340.25,320.1875,314.5384615,5.649038462,6.824430199
2020/7/6,332.5,338,332,338,8.5,0.5,2.58,57256.22,1,0.881973684,0.740517206,336.5,318.09375,312.7932692,5.300480769,7.41755698
2020/7/3,327,330.5,326.5,329.5,7.5,8.5,2.33,55656.987,1,0.822960527,0.669788966,329,316.3229167,311.2596154,5.063301282,8.046652422
2020/7/2,319,322,318,322,4.5,7.5,1.42,37789.178,1,0.73444079,0.593203186,321,314.84375,309.9711538,4.872596154,8.66355057
2020/7/1,315,318,314,317.5,4.5,4.5,1.44,29685.342,1,0.601661185,0.522584384,316.75,314.3854167,308.8317308,5.553685897,9.216969373
2020/6/30,313.5,314,311,313,1,4.5,0.32,49241.86,0.181818182,0.402491777,0.483045984,312.75,314.7916667,307.8990385,6.892628205,9.592948718
2020/6/29,314,315,310,312,-5.5,1,-1.73,56672.892,0.3125,0.512828575,0.523323088,312.25,315.5416667,307.2932692,8.248397436,9.664440883
2020/6/24,319,320,316,317.5,2.5,-5.5,0.79,55464.024,1,0.612992862,0.528570344,317.75,316,306.5625,9.4375,9.49136396
2020/6/23,316,316.5,312.5,315,3,2.5,0.96,41300.084,0.5,0.419489294,0.486359085,314.75,315.9791667,305.5769231,10.40224359,9.089921652
2020/6/22,314.5,316.5,312,312,-2.5,3,-0.79,37374.616,0.192307692,0.37923394,0.519793981,313.125,315.6458333,304.6586538,10.98717949,8.452635328
2020/6/19,314,314.5,312,314.5,0,-2.5,0,48130.28,0.384615385,0.472697064,0.590074001,313.875,315.0104167,304.0480769,10.96233974,7.57914886
2020/6/18,314.5,315,313,314.5,-0.5,0,-0.16,35443.474,0.384615385,0.516737904,0.648762469,314.25,313.875,303.2596154,10.61538462,6.571314103
2020/6/17,316.5,317,313.5,315,0,-0.5,0,34692.968,0.423076923,0.582799164,0.714774751,315.125,312.40625,302.5528846,9.853365385,5.470441595
2020/6/16,317,317,314,315,5.5,0,1.78,40725.216,0.545454545,0.662660285,0.780762545,315.25,310.75,301.8125,8.9375,4.340811966
2020/6/15,316,317.5,308.5,309.5,-6.5,5.5,-2.06,51032.404,0.395348837,0.721263154,0.839813675,311.25,308.78125,301.2451923,7.536057692,3.227564103
2020/6/12,313,317.5,312.5,316,-4.5,-6.5,-1.4,46970.918,0.75,0.884220313,0.899088936,315.5,307.4166667,300.7259615,6.690705128,2.194444444
2020/6/11,325.5,327,318.5,320.5,-2,-4.5,-0.62,50612.255,0.925925926,0.951330469,0.906523247,321.625,305.84375,300.0192308,5.824519231,1.269052707
2020/6/10,319,324,318,322.5,3.5,-2,1.1,42207.259,1,0.964032741,0.884119636,321.75,303.6666667,299,4.666666667,0.418269231
2020/6/9,316.5,319,314,319,1,3.5,0.31,37068.082,1,0.946049111,0.844163083,317.75,301.1354167,298.0096154,3.125801282,-0.271990741
2020/6/8,316,319,315,318,6.5,1,2.09,52042.921,1,0.919073667,0.793220069,317.5,299.03125,297.1394231,1.891826923,-0.787660256
2020/6/5,308.5,312,308,311.5,5.5,6.5,1.8,44077.262,1,0.878610501,0.73029327,310.75,297.3229167,296.6153846,0.707532051,-1.165598291
2020/6/4,305,306,304,306,5,5.5,1.66,47225.322,1,0.817915751,0.656134655,305.5,295.8645833,296.1778846,-0.313301282,-1.433849715
2020/6/3,300,301,298,301,4.5,5,1.52,67894.337,1,0.726873627,0.575244107,300.25,294.75,295.8317308,-1.081730769,-1.512998575
2020/6/2,296,297.5,296,296.5,1,4.5,0.34,26663.587,0.818181818,0.59031044,0.499429347,296.625,293.96875,295.7307692,-1.762019231,-1.460559117
2020/6/1,294,296.5,293.5,295.5,3.5,1,1.2,37936.214,0.636363636,0.476374752,0.4539888,295.25,294.0208333,295.6586538,-1.637820513,-1.285701567
2020/5/29,292,292.5,290,292,-2,3.5,-0.68,96611.181,0.083333333,0.396380309,0.442795825,291.625,293.8645833,295.6971154,-1.832532051,-1.047453704
2020/5/28,298.5,298.5,293,294,-2.5,-2,-0.84,32395.568,0.533333333,0.552903797,0.466003583,294.875,294.21875,295.7644231,-1.545673077,-0.626958689
2020/5/27,297,298,295.5,296.5,1,-2.5,0.34,23375.959,0.8125,0.562689029,0.422553475,296.625,294.3020833,295.8173077,-1.515224359,-0.130787037
2020/5/26,295,297.5,293.5,295.5,3.5,1,1.2,35817.481,0.6875,0.437783543,0.352485698,295.5,294.625,296.1346154,-1.509615385,0.409009972
2020/5/25,290.5,293,288.5,292,0,3.5,0,32942.223,0.25,0.312925315,0.309836776,291.375,294.8125,296.5192308,-1.706730769,1.033475783
2020/5/22,294.5,295,291,292,-5.5,0,-1.85,41138.923,0.25,0.344387972,0.308292506,292.5,295.2916667,296.3173077,-1.025641026,1.762375356
2020/5/21,296,298,295,297.5,3.5,-5.5,1.19,36299.468,0.681818182,0.391581959,0.290244774,297,295.5104167,296.1201923,-0.609775641,2.517895299
2020/5/20,293,294,291,294,2.5,3.5,0.86,36789.994,0.363636364,0.246463847,0.239576181,293.25,295.4270833,295.6153846,-0.188301282,3.279291311
2020/5/19,294,294,291.5,291.5,1.5,2.5,0.52,53083.214,0.136363636,0.187877589,0.236132348,292.125,295.5833333,295.0769231,0.506410256,4.112980769
2020/5/18,291,293.5,290,290,-8,1.5,-2.68,96872.065,0,0.213634565,0.260259727,290.875,296.5625,294.6105769,1.951923077,5.030448718
2020/5/15,297.5,298.5,294.5,298,5,-8,1.71,44304.804,0.625,0.320451848,0.283572308,297.25,297.2708333,294.3509615,2.919871795,5.95281339
2020/5/14,293,295,292.5,293,-4,5,-1.35,34480.948,0,0.168177771,0.265132539,293.375,297.2083333,293.8653846,3.342948718,6.757389601
2020/5/13,293,297,292.5,297,2,-4,0.68,46158.418,0.210526316,0.252266657,0.313609923,295.875,297.5625,293.4519231,4.110576923,7.555911681
2020/5/12,297.5,298.5,295,295,-6,2,-1.99,52494.788,0,0.273136828,0.344281555,295.875,297.46875,292.6153846,4.853365385,8.288016382
2020/5/11,300,301.5,298.5,301,3.5,-6,1.18,32379.019,0.631578947,0.409705242,0.379853919,300.5,297.5,291.7259615,5.774038462,8.891737892
2020/5/8,300,300,296,297.5,0,3.5,0,35613.893,0.263157895,0.298768389,0.364928257,297.75,296.90625,290.6634615,6.242788462,9.455662393
2020/5/7,294.5,299,294.5,297.5,1.5,0,0.51,28017.198,0.333333333,0.316573636,0.398008191,297.125,296.78125,289.4663462,7.314903846,9.989939459
2020/5/6,294.5,296,292.5,296,0.5,1.5,0.17,35704.479,0.19047619,0.308193788,0.438725469,295.125,297.4270833,288.6634615,8.763621795,10.41978276
2020/5/5,296.5,298,295,295.5,0.5,0.5,0.17,23988.405,0.142857143,0.367052587,0.503991309,296,298.2916667,288.0384615,10.25320513,10.63247863
2020/5/4,294.5,296.5,294,295,-9.5,0.5,-3.12,72252.861,0.095238095,0.479150309,0.572460671,295.125,297.46875,287.3076923,10.16105769,10.53027066
2020/4/30,302,305,301.5,304.5,5.5,-9.5,1.84,58439.085,1,0.671106415,0.619115852,303.875,296.8229167,286.2932692,10.52964744,10.23246083
2020/4/29,299,301.5,298,299,2.5,5.5,0.84,46253.301,0.4,0.506659623,0.59312057,299.375,295.15625,284.4567308,10.69951923,9.600605413
2020/4/28,298.5,298.5,294.5,296.5,-1.5,2.5,-0.5,37621.165,0.5,0.559989434,0.636351044,296.5,293.4791667,283.1923077,10.28685897,8.5877849
2020/4/27,298,298.5,296,298,4,-1.5,1.36,38493.406,0.575,0.589984152,0.674531848,297.625,292.1041667,281.2548077,10.84935897,7.441773504
2020/4/24,295.5,297,294,294,-1.5,4,-0.51,26465.09,0.418604651,0.597476227,0.716805696,294.75,290.9791667,279.9278846,11.05128205,6.030626781
2020/4/23,300,300,294,295.5,1.5,-1.5,0.51,39977.278,0.607142857,0.686912016,0.776470431,296.25,290.1354167,278.9519231,11.18349359,4.362980769
2020/4/22,294.5,295,290.5,294,-1,1.5,-0.34,43568.58,0.553571429,0.726796595,0.821249639,293.375,289,278.3221154,10.67788462,2.409277066
2020/4/21,300.5,301.5,293.5,295,-9,-1,-2.96,61949.357,0.589285714,0.813409178,0.868476161,296.25,287.3958333,278.0625,9.333333333,0.129362536
2020/4/20,308,309,302.5,304,-2.5,-9,-0.82,44586.86,0.910714286,0.92547091,0.896009652,304.875,285.4375,277.9567308,7.480769231,-2.282407407
2020/4/17,303.5,308.5,300.5,306.5,20,-2.5,6.98,117447.201,1,0.932849221,0.881279024,305.5,282.7708333,277.9278846,4.842948718,-4.982104701
2020/4/16,283,288.5,283,286.5,-1,20,-0.35,48257.28,0.916666667,0.899273832,0.855493925,286.125,279.53125,277.9471154,1.584134615,-7.722578348
2020/4/15,287,288.5,286,287.5,2.5,-1,0.88,58561.434,1,0.890577415,0.833603971,287.375,278.7083333,278.7355769,-0.02724359,-10.34633191
2020/4/14,281,285.5,280,285,6.5,2.5,2.33,50196.688,1,0.835866122,0.805117249,283.875,278,279.8509615,-1.850961538,-12.92806268
2020/4/13,278.5,281.5,278.5,278.5,-1,6.5,-0.36,22196.596,0.628571429,0.753799184,0.789742812,279.25,277.4270833,281.3846154,-3.957532051,-15.40206553
2020/4/10,280,282,279,279.5,-3.5,-1,-1.24,28206.858,0.685714286,0.816413061,0.807714626,280,276.5520833,282.9519231,-6.399839744,-17.64797009
2020/4/9,287.5,288,282.5,283,-2,-3.5,-0.7,29276.43,0.885714286,0.881762449,0.803365409,284.125,274.5625,284.4038462,-9.841346154,-19.57487536
2020/4/8,285,285.5,283,285,2,-2,0.71,38698.826,1,0.879786531,0.764166889,284.625,273.09375,285.4663462,-12.37259615,-21.05733618
2020/4/7,283.5,284,280.5,283,7.5,2,2.72,48887.346,1,0.819679796,0.706357068,282.625,269.8854167,286.7019231,-16.81650641,-22.21768162
2020/4/6,273,275.5,270,275.5,4,7.5,1.47,59712.754,0.82,0.729519694,0.649695704,274.125,268.2604167,288.0817308,-19.8213141,-22.72800926
2020/4/1,276.5,276.5,271.5,271.5,-2.5,4,-0.91,47572.034,0.66,0.684279541,0.609783709,272.75,267.8645833,289.8942308,-22.02964744,-22.61858974
2020/3/31,273,274,269.5,274,6.5,-2.5,2.43,53901.923,0.8125,0.696419312,0.572535793,272.875,268.4583333,291.7211538,-23.26282051,-22.06009615
2020/3/30,263.5,269,262.5,267.5,-5.5,6.5,-2.01,53403.956,0.609375,0.638378968,0.510594033,266.625,269.6041667,293.7211538,-24.11698718,-21.06570513
2020/3/27,284,286,273,273,-7,-5.5,-2.5,69320.306,0.78125,0.652880952,0.446701566,276.25,271.84375,296.0144231,-24.17067308,-19.79487179
2020/3/26,279.5,280,275.5,280,3,-7,1.08,54189.633,1,0.588696428,0.343611873,278.875,274.1666667,297.9086538,-23.74198718,-18.33048433
2020/3/25,276.5,280,274,277,9.5,3,3.55,80514.199,0.69047619,0.383044642,0.221069595,277,276.4270833,299.6105769,-23.18349359,-16.77724359
2020/3/24,268,274,266,267.5,12.5,9.5,4.9,82377.933,0.423913043,0.229328868,0.140082071,268.75,278.8958333,301.7115385,-22.81570513,-15.13906695
2020/3/23,257,262.5,252,255,-15,12.5,-5.56,76963.709,0.12962963,0.132036781,0.095458672,256.125,282.8645833,304.2740385,-21.40945513,-13.42227564
2020/3/20,258.5,270,256,270,22,-15,8.87,159179.726,0.372881356,0.133240356,0.077169618,266.5,288.5,307.3365385,-18.83653846,-11.7144765
2020/3/19,252,253,235.5,248,-12,22,-4.62,160811.697,0,0.013419856,0.049134249,246.125,292.9583333,309.9615385,-17.00320513,-10.16755698
2020/3/18,269.5,272.5,260,260,-8,-12,-2.99,118620.643,0,0.020129785,0.066991445,263.125,298.9270833,313.2403846,-14.31330128,-8.701923077
2020/3/17,265,276.5,265,268,-8.5,-8,-3.07,122409.651,0,0.030194677,0.090422276,269.375,302.9791667,315.6586538,-12.67948718,-7.546385328
2020/3/16,285,291,275.5,276.5,-13.5,-8.5,-4.66,103933.228,0,0.045292015,0.120536075,279.875,306.9270833,317.9182692,-10.9911859,-6.540598291
2020/3/13,275,294,272.5,290,-4,-13.5,-1.36,151268.148,0,0.067938023,0.158158105,286.625,310.1458333,319.9086538,-9.762820513,-5.639334046
2020/3/12,299,299,287,294,-8,-4,-2.65,114173.351,0,0.101907034,0.203268146,293.5,313.03125,321.4711538,-8.439903846,-4.805644587
2020/3/11,309,310.5,302,302,-5,-8,-1.63,64923.71,0,0.152860552,0.253948702,304.125,315.2604167,322.625,-7.364583333,-4.050747863
2020/3/10,301.5,309,301,307,1.5,-5,0.49,74869.13,0.085714286,0.229290827,0.304492778,306,316.9895833,323.0288462,-6.039262821,-3.383547009
2020/3/9,307.5,310,305.5,305.5,-9.5,1.5,-3.02,88633.277,0,0.301079098,0.342093753,306.625,318.6770833,323.5913462,-4.914262821,-2.881766382
2020/3/6,320,320.5,315,315,-8,-9.5,-2.48,52807.76,0.333333333,0.451618647,0.36260108,316.375,320.25,324.0625,-3.8125,-2.506499288
2020/3/5,325,326,323,323,2.5,-8,0.78,38223.525,0.857142857,0.510761304,0.318092296,323.75,320.8125,324.7259615,-3.913461538,-2.186787749
2020/3/4,322,322,317,320.5,3,2.5,0.94,44745.146,0.655172414,0.337570528,0.221757792,320,321.46875,325.0961538,-3.627403846,-1.854166667
2020/3/3,318.5,320,316,317.5,6.5,3,2.09,55169.411,0.419354839,0.178769585,0.163851424,317.75,322.75,325.6298077,-2.879807692,-1.606036325
2020/3/2,308,317,308,311,-5,6.5,-1.58,86372.942,0,0.058476958,0.156392344,311.75,324.25,326.5096154,-2.259615385,-1.603098291
2020/2/27,319,320,315,316,-2.5,-5,-0.78,62401.927,0,0.087715437,0.205350038,316.75,326.1666667,327.8125,-1.645833333,-1.753116097
2020/2/26,317,320.5,316.5,318.5,-3.5,-2.5,-1.09,60768.362,0,0.131573155,0.264167338,318.5,327.3854167,328.7451923,-1.359775641,-2.089387464
2020/2/25,320,323.5,317.5,322,2,-3.5,0.63,38674.011,0.133333333,0.197359733,0.330464429,321.25,328.0104167,329.5336538,-1.523237179,-2.474180912
2020/2/24,319.5,321.5,319.5,320,-5,2,-1.54,42946.68,0,0.229372932,0.397016778,320.25,328.5833333,330.1201923,-1.536858974,-2.869212963
2020/2/21,325.5,326.5,323,325,-0.5,-5,-0.15,22974.534,0.230769231,0.344059399,0.480838701,324.875,329.53125,330.4663462,-0.935096154,-3.262820513
2020/2/20,328,329,325,325.5,-1,-0.5,-0.31,27061.736,0.269230769,0.400704482,0.549228352,326.25,329.7291667,330.6490385,-0.919871795,-3.644052707
2020/2/19,322.5,327,322,326.5,4.5,-1,1.4,48856.218,0.346153846,0.466441339,0.623490286,325.5,329.5,330.8942308,-1.394230769,-3.873575499
2020/2/18,324.5,326.5,322,322,-9.5,4.5,-2.87,64662.604,0,0.526585085,0.70201476,323.125,328.59375,331.4471154,-2.853365385,-3.95147792
2020/2/17,331.5,333,330.5,331.5,-3.5,-9.5,-1.04,16145.079,0.533333333,0.789877628,0.789729597,331.625,328.3854167,331.9951923,-3.609775641,-3.791488604
2020/2/14,337,337,334.5,335,0,-3.5,0,18326.683,1,0.918149776,0.789655582,335.375,327.3229167,331.9951923,-4.672275641,-3.502403846
2020/2/13,338,338,335,335,0,0,0,23217.021,1,0.877224663,0.725408485,335.75,327.1770833,332,-4.822916667,-3.129095442
2020/2/12,333.5,336,333,335,3.5,0,1.06,37612.639,1,0.815836995,0.649500396,334.75,326.9791667,332.0576923,-5.078525641,-2.719284188
2020/2/11,330.5,332.5,330,331.5,4,3.5,1.22,29062.935,0.942857143,0.723755493,0.566332097,331.375,326.90625,331.9855769,-5.079326923,-2.238336895
